dataset,model,removed_id
immrep23,NetTCR,immrep23_3433
immrep23,NetTCR,immrep23_3442
immrep23,NetTCR,immrep23_364
immrep23,NetTCR,immrep23_369
immrep23,NetTCR,immrep23_376
immrep23,NetTCR,immrep23_386
immrep23,NetTCR,immrep23_39
immrep23,NetTCR,immrep23_448
immrep23,NetTCR,immrep23_461
immrep23,NetTCR,immrep23_463
immrep23,NetTCR,immrep23_504
immrep23,NetTCR,immrep23_519
immrep23,NetTCR,immrep23_525
immrep23,NetTCR,immrep23_548
immrep23,NetTCR,immrep23_562
immrep23,NetTCR,immrep23_563
immrep23,NetTCR,immrep23_591
immrep23,NetTCR,immrep23_604
immrep23,NetTCR,immrep23_692
immrep23,NetTCR,immrep23_717
immrep23,NetTCR,immrep23_786
immrep23,NetTCR,immrep23_831
immrep23,NetTCR,immrep23_920
immrep23,NetTCR,immrep23_957
immrep23,NetTCR,immrep23_973
immrep23,NetTCR,immrep23_981
immrep23,NetTCR22,immrep23_1002
immrep23,NetTCR22,immrep23_1034
immrep23,NetTCR22,immrep23_1041
immrep23,NetTCR22,immrep23_1050
immrep23,NetTCR22,immrep23_1051
immrep23,NetTCR22,immrep23_1065
immrep23,NetTCR22,immrep23_1069
immrep23,NetTCR22,immrep23_1096
immrep23,NetTCR22,immrep23_1099
immrep23,NetTCR22,immrep23_11
immrep23,NetTCR22,immrep23_1110
immrep23,NetTCR22,immrep23_1133
immrep23,NetTCR22,immrep23_1135
immrep23,NetTCR22,immrep23_1150
immrep23,NetTCR22,immrep23_1157
immrep23,NetTCR22,immrep23_1170
immrep23,NetTCR22,immrep23_1187
immrep23,NetTCR22,immrep23_119
immrep23,NetTCR22,immrep23_1247
immrep23,NetTCR22,immrep23_1249
immrep23,NetTCR22,immrep23_1265
immrep23,NetTCR22,immrep23_1274
immrep23,NetTCR22,immrep23_1319
immrep23,NetTCR22,immrep23_1325
immrep23,NetTCR22,immrep23_1330
immrep23,NetTCR22,immrep23_1380
immrep23,NetTCR22,immrep23_140
immrep23,NetTCR22,immrep23_1402
immrep23,NetTCR22,immrep23_145
immrep23,NetTCR22,immrep23_1467
immrep23,NetTCR22,immrep23_1509
immrep23,NetTCR22,immrep23_152
immrep23,NetTCR22,immrep23_1523
immrep23,NetTCR22,immrep23_1530
immrep23,NetTCR22,immrep23_1564
immrep23,NetTCR22,immrep23_1572
immrep23,NetTCR22,immrep23_1587
immrep23,NetTCR22,immrep23_1628
immrep23,NetTCR22,immrep23_1661
immrep23,NetTCR22,immrep23_1742
immrep23,NetTCR22,immrep23_1763
immrep23,NetTCR22,immrep23_1766
immrep23,NetTCR22,immrep23_1779
immrep23,NetTCR22,immrep23_1782
immrep23,NetTCR22,immrep23_1818
immrep23,NetTCR22,immrep23_1828
immrep23,NetTCR22,immrep23_1916
immrep23,NetTCR22,immrep23_1954
immrep23,NetTCR22,immrep23_1981
immrep23,NetTCR22,immrep23_2
immrep23,NetTCR22,immrep23_2001
immrep23,NetTCR22,immrep23_2034
immrep23,NetTCR22,immrep23_2082
immrep23,NetTCR22,immrep23_2116
immrep23,NetTCR22,immrep23_2127
immrep23,NetTCR22,immrep23_2131
immrep23,NetTCR22,immrep23_2141
immrep23,NetTCR22,immrep23_2143
immrep23,NetTCR22,immrep23_2197
immrep23,NetTCR22,immrep23_2213
immrep23,NetTCR22,immrep23_2234
immrep23,NetTCR22,immrep23_227
immrep23,NetTCR22,immrep23_2270
immrep23,NetTCR22,immrep23_2274
immrep23,NetTCR22,immrep23_2276
immrep23,NetTCR22,immrep23_230
immrep23,NetTCR22,immrep23_2302
immrep23,NetTCR22,immrep23_2308
immrep23,NetTCR22,immrep23_2363
immrep23,NetTCR22,immrep23_239
immrep23,NetTCR22,immrep23_2468
immrep23,NetTCR22,immrep23_2480
immrep23,NetTCR22,immrep23_2498
immrep23,NetTCR22,immrep23_2500
immrep23,NetTCR22,immrep23_2526
immrep23,NetTCR22,immrep23_2546
immrep23,NetTCR22,immrep23_2556
immrep23,NetTCR22,immrep23_2589
immrep23,NetTCR22,immrep23_2609
immrep23,NetTCR22,immrep23_263
immrep23,NetTCR22,immrep23_2661
immrep23,NetTCR22,immrep23_2697
immrep23,NetTCR22,immrep23_271
immrep23,NetTCR22,immrep23_2720
immrep23,NetTCR22,immrep23_2732
immrep23,NetTCR22,immrep23_2796
immrep23,NetTCR22,immrep23_281
immrep23,NetTCR22,immrep23_2812
immrep23,NetTCR22,immrep23_2844
immrep23,NetTCR22,immrep23_2859
immrep23,NetTCR22,immrep23_2871
immrep23,NetTCR22,immrep23_288
immrep23,NetTCR22,immrep23_2882
immrep23,NetTCR22,immrep23_2923
immrep23,NetTCR22,immrep23_2926
immrep23,NetTCR22,immrep23_3006
immrep23,NetTCR22,immrep23_3007
immrep23,NetTCR22,immrep23_3067
immrep23,NetTCR22,immrep23_3084
immrep23,NetTCR22,immrep23_3098
immrep23,NetTCR22,immrep23_3107
immrep23,NetTCR22,immrep23_3123
immrep23,NetTCR22,immrep23_3131
immrep23,NetTCR22,immrep23_3135
immrep23,NetTCR22,immrep23_3150
immrep23,NetTCR22,immrep23_3232
immrep23,NetTCR22,immrep23_3270
immrep23,NetTCR22,immrep23_3300
immrep23,NetTCR22,immrep23_339
immrep23,NetTCR22,immrep23_3413
immrep23,NetTCR22,immrep23_3426
immrep23,NetTCR22,immrep23_3436
immrep23,NetTCR22,immrep23_3442
immrep23,NetTCR22,immrep23_35
immrep23,NetTCR22,immrep23_369
immrep23,NetTCR22,immrep23_376
immrep23,NetTCR22,immrep23_449
immrep23,NetTCR22,immrep23_461
immrep23,NetTCR22,immrep23_463
immrep23,NetTCR22,immrep23_480
immrep23,NetTCR22,immrep23_483
immrep23,NetTCR22,immrep23_504
immrep23,NetTCR22,immrep23_518
immrep23,NetTCR22,immrep23_519
immrep23,NetTCR22,immrep23_525
immrep23,NetTCR22,immrep23_548
immrep23,NetTCR22,immrep23_549
immrep23,NetTCR22,immrep23_562
immrep23,NetTCR22,immrep23_563
immrep23,NetTCR22,immrep23_591
immrep23,NetTCR22,immrep23_604
immrep23,NetTCR22,immrep23_660
immrep23,NetTCR22,immrep23_692
immrep23,NetTCR22,immrep23_707
immrep23,NetTCR22,immrep23_717
immrep23,NetTCR22,immrep23_759
immrep23,NetTCR22,immrep23_768
immrep23,NetTCR22,immrep23_786
immrep23,NetTCR22,immrep23_831
immrep23,NetTCR22,immrep23_836
immrep23,NetTCR22,immrep23_848
immrep23,NetTCR22,immrep23_907
immrep23,NetTCR22,immrep23_962
immrep23,NetTCR22,immrep23_964
immrep23,NetTCR22,immrep23_973
immrep23,NetTCR22,immrep23_981
immrep23,PanPep,immrep23_1133
immrep23,PanPep,immrep23_1319
immrep23,PanPep,immrep23_1325
immrep23,PanPep,immrep23_1487
immrep23,PanPep,immrep23_1509
immrep23,PanPep,immrep23_1564
immrep23,PanPep,immrep23_1587
immrep23,PanPep,immrep23_1656
immrep23,PanPep,immrep23_1779
immrep23,PanPep,immrep23_2143
immrep23,PanPep,immrep23_2174
immrep23,PanPep,immrep23_239
immrep23,PanPep,immrep23_2500
immrep23,PanPep,immrep23_2543
immrep23,PanPep,immrep23_2556
immrep23,PanPep,immrep23_2589
immrep23,PanPep,immrep23_263
immrep23,PanPep,immrep23_2923
immrep23,PanPep,immrep23_3006
immrep23,PanPep,immrep23_3084
immrep23,PanPep,immrep23_3098
immrep23,PanPep,immrep23_3232
immrep23,PanPep,immrep23_376
immrep23,PanPep,immrep23_461
immrep23,PanPep,immrep23_463
immrep23,PanPep,immrep23_504
immrep23,PanPep,immrep23_519
immrep23,PanPep,immrep23_525
immrep23,PanPep,immrep23_548
immrep23,PanPep,immrep23_562
immrep23,PanPep,immrep23_563
immrep23,PanPep,immrep23_591
immrep23,PanPep,immrep23_957
immrep23,PanPep,immrep23_981
tettcr,ERGO,tettcr_10213
tettcr,ERGO,tettcr_10220
tettcr,ERGO,tettcr_10296
tettcr,ERGO,tettcr_10315
tettcr,ERGO,tettcr_10377
tettcr,ERGO,tettcr_10388
tettcr,ERGO,tettcr_10392
tettcr,ERGO,tettcr_10523
tettcr,ERGO,tettcr_10529
tettcr,ERGO,tettcr_10538
tettcr,ERGO,tettcr_10560
tettcr,ERGO,tettcr_10564
tettcr,ERGO,tettcr_10571
tettcr,ERGO,tettcr_10739
tettcr,ERGO,tettcr_10862
tettcr,ERGO,tettcr_11035
tettcr,ERGO,tettcr_11041
tettcr,ERGO,tettcr_11046
tettcr,ERGO,tettcr_11050
tettcr,ERGO,tettcr_11056
tettcr,ERGO,tettcr_11075
tettcr,ERGO,tettcr_11092
tettcr,ERGO,tettcr_11097
tettcr,ERGO,tettcr_11113
tettcr,ERGO,tettcr_11121
tettcr,ERGO,tettcr_11146
tettcr,ERGO,tettcr_11533
tettcr,ERGO,tettcr_11544
tettcr,ERGO,tettcr_11572
tettcr,ERGO,tettcr_11576
tettcr,ERGO,tettcr_11582
tettcr,ERGO,tettcr_11596
tettcr,ERGO,tettcr_11607
tettcr,ERGO,tettcr_11621
tettcr,ERGO,tettcr_11816
tettcr,ERGO,tettcr_1188
tettcr,ERGO,tettcr_12054
tettcr,ERGO,tettcr_12092
tettcr,ERGO,tettcr_12416
tettcr,ERGO,tettcr_12467
tettcr,ERGO,tettcr_12625
tettcr,ERGO,tettcr_12670
tettcr,ERGO,tettcr_13237
tettcr,ERGO,tettcr_13315
tettcr,ERGO,tettcr_15178
tettcr,ERGO,tettcr_15572
tettcr,ERGO,tettcr_15884
tettcr,ERGO,tettcr_16848
tettcr,ERGO,tettcr_18176
tettcr,ERGO,tettcr_18186
tettcr,ERGO,tettcr_18895
tettcr,ERGO,tettcr_19244
tettcr,ERGO,tettcr_1942
tettcr,ERGO,tettcr_1946
tettcr,ERGO,tettcr_1959
tettcr,ERGO,tettcr_1967
tettcr,ERGO,tettcr_19831
tettcr,ERGO,tettcr_20883
tettcr,ERGO,tettcr_20933
tettcr,ERGO,tettcr_20938
tettcr,ERGO,tettcr_21343
tettcr,ERGO,tettcr_21912
tettcr,ERGO,tettcr_21929
tettcr,ERGO,tettcr_22216
tettcr,ERGO,tettcr_22600
tettcr,ERGO,tettcr_22606
tettcr,ERGO,tettcr_22655
tettcr,ERGO,tettcr_22667
tettcr,ERGO,tettcr_22813
tettcr,ERGO,tettcr_22873
tettcr,ERGO,tettcr_22876
tettcr,ERGO,tettcr_22890
tettcr,ERGO,tettcr_22955
tettcr,ERGO,tettcr_22964
tettcr,ERGO,tettcr_22993
tettcr,ERGO,tettcr_24438
tettcr,ERGO,tettcr_24816
tettcr,ERGO,tettcr_25506
tettcr,ERGO,tettcr_25691
tettcr,ERGO,tettcr_25714
tettcr,ERGO,tettcr_25718
tettcr,ERGO,tettcr_25724
tettcr,ERGO,tettcr_25763
tettcr,ERGO,tettcr_25800
tettcr,ERGO,tettcr_25885
tettcr,ERGO,tettcr_26095
tettcr,ERGO,tettcr_26881
tettcr,ERGO,tettcr_27595
tettcr,ERGO,tettcr_28230
tettcr,ERGO,tettcr_29978
tettcr,ERGO,tettcr_301
tettcr,ERGO,tettcr_30689
tettcr,ERGO,tettcr_31259
tettcr,ERGO,tettcr_31261
tettcr,ERGO,tettcr_32004
tettcr,ERGO,tettcr_32501
tettcr,ERGO,tettcr_32812
tettcr,ERGO,tettcr_34665
tettcr,ERGO,tettcr_34666
tettcr,ERGO,tettcr_34732
tettcr,ERGO,tettcr_34747
tettcr,ERGO,tettcr_34905
tettcr,ERGO,tettcr_36487
tettcr,ERGO,tettcr_37295
tettcr,ERGO,tettcr_37650
tettcr,ERGO,tettcr_38577
tettcr,ERGO,tettcr_3920
tettcr,ERGO,tettcr_39648
tettcr,ERGO,tettcr_39657
tettcr,ERGO,tettcr_40287
tettcr,ERGO,tettcr_40483
tettcr,ERGO,tettcr_40641
tettcr,ERGO,tettcr_40740
tettcr,ERGO,tettcr_4091
tettcr,ERGO,tettcr_42026
tettcr,ERGO,tettcr_42313
tettcr,ERGO,tettcr_42954
tettcr,ERGO,tettcr_43196
tettcr,ERGO,tettcr_43269
tettcr,ERGO,tettcr_43396
tettcr,ERGO,tettcr_43616
tettcr,ERGO,tettcr_43634
tettcr,ERGO,tettcr_43659
tettcr,ERGO,tettcr_43681
tettcr,ERGO,tettcr_43709
tettcr,ERGO,tettcr_43797
tettcr,ERGO,tettcr_43800
tettcr,ERGO,tettcr_43816
tettcr,ERGO,tettcr_43923
tettcr,ERGO,tettcr_43932
tettcr,ERGO,tettcr_43938
tettcr,ERGO,tettcr_43942
tettcr,ERGO,tettcr_43954
tettcr,ERGO,tettcr_43960
tettcr,ERGO,tettcr_43967
tettcr,ERGO,tettcr_43986
tettcr,ERGO,tettcr_43992
tettcr,ERGO,tettcr_44004
tettcr,ERGO,tettcr_44009
tettcr,ERGO,tettcr_44031
tettcr,ERGO,tettcr_44042
tettcr,ERGO,tettcr_44044
tettcr,ERGO,tettcr_44057
tettcr,ERGO,tettcr_44058
tettcr,ERGO,tettcr_44087
tettcr,ERGO,tettcr_44094
tettcr,ERGO,tettcr_44096
tettcr,ERGO,tettcr_44098
tettcr,ERGO,tettcr_44106
tettcr,ERGO,tettcr_44111
tettcr,ERGO,tettcr_44120
tettcr,ERGO,tettcr_44145
tettcr,ERGO,tettcr_44151
tettcr,ERGO,tettcr_44158
tettcr,ERGO,tettcr_44175
tettcr,ERGO,tettcr_44179
tettcr,ERGO,tettcr_44192
tettcr,ERGO,tettcr_44210
tettcr,ERGO,tettcr_44345
tettcr,ERGO,tettcr_44346
tettcr,ERGO,tettcr_44585
tettcr,ERGO,tettcr_44710
tettcr,ERGO,tettcr_44724
tettcr,ERGO,tettcr_44726
tettcr,ERGO,tettcr_44734
tettcr,ERGO,tettcr_44738
tettcr,ERGO,tettcr_44753
tettcr,ERGO,tettcr_44767
tettcr,ERGO,tettcr_44773
tettcr,ERGO,tettcr_44778
tettcr,ERGO,tettcr_44782
tettcr,ERGO,tettcr_44784
tettcr,ERGO,tettcr_44792
tettcr,ERGO,tettcr_44805
tettcr,ERGO,tettcr_44814
tettcr,ERGO,tettcr_44815
tettcr,ERGO,tettcr_44818
tettcr,ERGO,tettcr_44833
tettcr,ERGO,tettcr_4530
tettcr,ERGO,tettcr_45327
tettcr,ERGO,tettcr_45331
tettcr,ERGO,tettcr_45444
tettcr,ERGO,tettcr_45903
tettcr,ERGO,tettcr_46025
tettcr,ERGO,tettcr_46075
tettcr,ERGO,tettcr_46090
tettcr,ERGO,tettcr_46091
tettcr,ERGO,tettcr_46096
tettcr,ERGO,tettcr_46104
tettcr,ERGO,tettcr_46121
tettcr,ERGO,tettcr_46226
tettcr,ERGO,tettcr_4640
tettcr,ERGO,tettcr_46580
tettcr,ERGO,tettcr_46620
tettcr,ERGO,tettcr_46665
tettcr,ERGO,tettcr_46749
tettcr,ERGO,tettcr_4683
tettcr,ERGO,tettcr_46872
tettcr,ERGO,tettcr_46875
tettcr,ERGO,tettcr_4701
tettcr,ERGO,tettcr_47172
tettcr,ERGO,tettcr_47231
tettcr,ERGO,tettcr_47237
tettcr,ERGO,tettcr_47241
tettcr,ERGO,tettcr_47251
tettcr,ERGO,tettcr_47258
tettcr,ERGO,tettcr_47371
tettcr,ERGO,tettcr_4744
tettcr,ERGO,tettcr_4746
tettcr,ERGO,tettcr_4757
tettcr,ERGO,tettcr_47789
tettcr,ERGO,tettcr_48137
tettcr,ERGO,tettcr_48263
tettcr,ERGO,tettcr_48568
tettcr,ERGO,tettcr_48569
tettcr,ERGO,tettcr_48571
tettcr,ERGO,tettcr_48574
tettcr,ERGO,tettcr_48583
tettcr,ERGO,tettcr_48589
tettcr,ERGO,tettcr_48661
tettcr,ERGO,tettcr_48766
tettcr,ERGO,tettcr_48778
tettcr,ERGO,tettcr_48791
tettcr,ERGO,tettcr_48807
tettcr,ERGO,tettcr_48810
tettcr,ERGO,tettcr_48832
tettcr,ERGO,tettcr_48837
tettcr,ERGO,tettcr_48856
tettcr,ERGO,tettcr_48968
tettcr,ERGO,tettcr_49210
tettcr,ERGO,tettcr_50288
tettcr,ERGO,tettcr_50350
tettcr,ERGO,tettcr_50455
tettcr,ERGO,tettcr_50458
tettcr,ERGO,tettcr_50779
tettcr,ERGO,tettcr_50784
tettcr,ERGO,tettcr_50797
tettcr,ERGO,tettcr_50799
tettcr,ERGO,tettcr_50802
tettcr,ERGO,tettcr_50831
tettcr,ERGO,tettcr_50969
tettcr,ERGO,tettcr_50977
tettcr,ERGO,tettcr_50980
tettcr,ERGO,tettcr_51000
tettcr,ERGO,tettcr_51271
tettcr,ERGO,tettcr_51292
tettcr,ERGO,tettcr_51295
tettcr,ERGO,tettcr_51300
tettcr,ERGO,tettcr_51311
tettcr,ERGO,tettcr_559
tettcr,ERGO,tettcr_5650
tettcr,ERGO,tettcr_6014
tettcr,ERGO,tettcr_6129
tettcr,ERGO,tettcr_6496
tettcr,ERGO,tettcr_6673
tettcr,ERGO,tettcr_6774
tettcr,ERGO,tettcr_6869
tettcr,ERGO,tettcr_6873
tettcr,ERGO,tettcr_6905
tettcr,ERGO,tettcr_6938
tettcr,ERGO,tettcr_6983
tettcr,ERGO,tettcr_6995
tettcr,ERGO,tettcr_7000
tettcr,ERGO,tettcr_7002
tettcr,ERGO,tettcr_7101
tettcr,ERGO,tettcr_7102
tettcr,ERGO,tettcr_7149
tettcr,ERGO,tettcr_7282
tettcr,ERGO,tettcr_7294
tettcr,ERGO,tettcr_7755
tettcr,ERGO,tettcr_7839
tettcr,ERGO,tettcr_7934
tettcr,ERGO,tettcr_7983
tettcr,ERGO,tettcr_8006
tettcr,ERGO,tettcr_8021
tettcr,ERGO,tettcr_8028
tettcr,ERGO,tettcr_8055
tettcr,ERGO,tettcr_8080
tettcr,ERGO,tettcr_8095
tettcr,ERGO,tettcr_8103
tettcr,ERGO,tettcr_8129
tettcr,ERGO,tettcr_8137
tettcr,ERGO,tettcr_8147
tettcr,ERGO,tettcr_815
tettcr,ERGO,tettcr_8150
tettcr,ERGO,tettcr_8261
tettcr,ERGO,tettcr_8389
tettcr,ERGO,tettcr_8394
tettcr,ERGO,tettcr_8407
tettcr,ERGO,tettcr_8458
tettcr,ERGO,tettcr_8576
tettcr,ERGO,tettcr_8581
tettcr,ERGO,tettcr_8584
tettcr,ERGO,tettcr_8601
tettcr,ERGO,tettcr_8604
tettcr,ERGO,tettcr_8619
tettcr,ERGO,tettcr_8624
tettcr,ERGO,tettcr_9586
tettcr,ERGO,tettcr_9594
tettcr,ERGO,tettcr_9606
tettcr,ERGO,tettcr_9613
tettcr,ERGO,tettcr_9631
tettcr,ERGO2,tettcr_10213
tettcr,ERGO2,tettcr_10220
tettcr,ERGO2,tettcr_10296
tettcr,ERGO2,tettcr_10298
tettcr,ERGO2,tettcr_10315
tettcr,ERGO2,tettcr_10377
tettcr,ERGO2,tettcr_10388
tettcr,ERGO2,tettcr_10392
tettcr,ERGO2,tettcr_10523
tettcr,ERGO2,tettcr_10529
tettcr,ERGO2,tettcr_10538
tettcr,ERGO2,tettcr_10560
tettcr,ERGO2,tettcr_10564
tettcr,ERGO2,tettcr_10571
tettcr,ERGO2,tettcr_10572
tettcr,ERGO2,tettcr_10738
tettcr,ERGO2,tettcr_10739
tettcr,ERGO2,tettcr_10862
tettcr,ERGO2,tettcr_11035
tettcr,ERGO2,tettcr_11041
tettcr,ERGO2,tettcr_11042
tettcr,ERGO2,tettcr_11046
tettcr,ERGO2,tettcr_11050
tettcr,ERGO2,tettcr_11056
tettcr,ERGO2,tettcr_11061
tettcr,ERGO2,tettcr_11075
tettcr,ERGO2,tettcr_11113
tettcr,ERGO2,tettcr_11121
tettcr,ERGO2,tettcr_11533
tettcr,ERGO2,tettcr_11544
tettcr,ERGO2,tettcr_11572
tettcr,ERGO2,tettcr_11576
tettcr,ERGO2,tettcr_11596
tettcr,ERGO2,tettcr_11607
tettcr,ERGO2,tettcr_11621
tettcr,ERGO2,tettcr_11816
tettcr,ERGO2,tettcr_12092
tettcr,ERGO2,tettcr_12266
tettcr,ERGO2,tettcr_12269
tettcr,ERGO2,tettcr_12416
tettcr,ERGO2,tettcr_12430
tettcr,ERGO2,tettcr_12467
tettcr,ERGO2,tettcr_12625
tettcr,ERGO2,tettcr_12670
tettcr,ERGO2,tettcr_12759
tettcr,ERGO2,tettcr_12762
tettcr,ERGO2,tettcr_12769
tettcr,ERGO2,tettcr_13237
tettcr,ERGO2,tettcr_13716
tettcr,ERGO2,tettcr_14175
tettcr,ERGO2,tettcr_15178
tettcr,ERGO2,tettcr_15572
tettcr,ERGO2,tettcr_15884
tettcr,ERGO2,tettcr_16736
tettcr,ERGO2,tettcr_17351
tettcr,ERGO2,tettcr_18895
tettcr,ERGO2,tettcr_19244
tettcr,ERGO2,tettcr_1942
tettcr,ERGO2,tettcr_1946
tettcr,ERGO2,tettcr_1959
tettcr,ERGO2,tettcr_1967
tettcr,ERGO2,tettcr_1968
tettcr,ERGO2,tettcr_20883
tettcr,ERGO2,tettcr_20933
tettcr,ERGO2,tettcr_21874
tettcr,ERGO2,tettcr_21875
tettcr,ERGO2,tettcr_21878
tettcr,ERGO2,tettcr_21980
tettcr,ERGO2,tettcr_21985
tettcr,ERGO2,tettcr_21994
tettcr,ERGO2,tettcr_22216
tettcr,ERGO2,tettcr_22589
tettcr,ERGO2,tettcr_22600
tettcr,ERGO2,tettcr_22604
tettcr,ERGO2,tettcr_22606
tettcr,ERGO2,tettcr_22667
tettcr,ERGO2,tettcr_23402
tettcr,ERGO2,tettcr_23405
tettcr,ERGO2,tettcr_25506
tettcr,ERGO2,tettcr_26095
tettcr,ERGO2,tettcr_26886
tettcr,ERGO2,tettcr_27229
tettcr,ERGO2,tettcr_27595
tettcr,ERGO2,tettcr_27859
tettcr,ERGO2,tettcr_27860
tettcr,ERGO2,tettcr_28405
tettcr,ERGO2,tettcr_29862
tettcr,ERGO2,tettcr_29864
tettcr,ERGO2,tettcr_29978
tettcr,ERGO2,tettcr_301
tettcr,ERGO2,tettcr_30296
tettcr,ERGO2,tettcr_30297
tettcr,ERGO2,tettcr_30689
tettcr,ERGO2,tettcr_31259
tettcr,ERGO2,tettcr_31261
tettcr,ERGO2,tettcr_31272
tettcr,ERGO2,tettcr_31278
tettcr,ERGO2,tettcr_32004
tettcr,ERGO2,tettcr_32583
tettcr,ERGO2,tettcr_32812
tettcr,ERGO2,tettcr_33373
tettcr,ERGO2,tettcr_34665
tettcr,ERGO2,tettcr_34666
tettcr,ERGO2,tettcr_34747
tettcr,ERGO2,tettcr_36487
tettcr,ERGO2,tettcr_37650
tettcr,ERGO2,tettcr_38577
tettcr,ERGO2,tettcr_39657
tettcr,ERGO2,tettcr_40287
tettcr,ERGO2,tettcr_40449
tettcr,ERGO2,tettcr_40452
tettcr,ERGO2,tettcr_40458
tettcr,ERGO2,tettcr_40461
tettcr,ERGO2,tettcr_40483
tettcr,ERGO2,tettcr_40497
tettcr,ERGO2,tettcr_40500
tettcr,ERGO2,tettcr_40702
tettcr,ERGO2,tettcr_40740
tettcr,ERGO2,tettcr_40781
tettcr,ERGO2,tettcr_40784
tettcr,ERGO2,tettcr_40815
tettcr,ERGO2,tettcr_40818
tettcr,ERGO2,tettcr_40839
tettcr,ERGO2,tettcr_40842
tettcr,ERGO2,tettcr_40870
tettcr,ERGO2,tettcr_40873
tettcr,ERGO2,tettcr_40879
tettcr,ERGO2,tettcr_40882
tettcr,ERGO2,tettcr_40977
tettcr,ERGO2,tettcr_40980
tettcr,ERGO2,tettcr_40987
tettcr,ERGO2,tettcr_40990
tettcr,ERGO2,tettcr_41429
tettcr,ERGO2,tettcr_41432
tettcr,ERGO2,tettcr_41463
tettcr,ERGO2,tettcr_41466
tettcr,ERGO2,tettcr_41481
tettcr,ERGO2,tettcr_41484
tettcr,ERGO2,tettcr_41489
tettcr,ERGO2,tettcr_41493
tettcr,ERGO2,tettcr_41496
tettcr,ERGO2,tettcr_41499
tettcr,ERGO2,tettcr_41502
tettcr,ERGO2,tettcr_41507
tettcr,ERGO2,tettcr_41510
tettcr,ERGO2,tettcr_41514
tettcr,ERGO2,tettcr_41517
tettcr,ERGO2,tettcr_41520
tettcr,ERGO2,tettcr_41523
tettcr,ERGO2,tettcr_41527
tettcr,ERGO2,tettcr_41530
tettcr,ERGO2,tettcr_41551
tettcr,ERGO2,tettcr_41553
tettcr,ERGO2,tettcr_41686
tettcr,ERGO2,tettcr_41693
tettcr,ERGO2,tettcr_41763
tettcr,ERGO2,tettcr_41767
